2016-10-25 11:56:31 412553950 114.525812 30.679277 114.525812 30.679277 0.0 26.3 
2016-10-25 12:06:43 412553950 114.525843 30.679317 114.525885 30.679247 0.2 33.7 
2016-10-25 12:08:19 412553950 114.525843 30.679317 114.525843 30.679317 0.2 33.7 
2016-10-25 12:09:38 412553950 114.525838 30.679265 114.525843 30.679317 0.1 205.4 
2016-10-25 12:12:34 412553950 114.525805 30.679268 114.525838 30.679265 0.1 25.5 
2016-10-25 12:14:46 412553950 114.525805 30.679268 114.525805 30.679268 0.1 25.5 
2016-10-25 12:15:24 412553950 114.525827 30.679323 114.525805 30.679268 0.0 327.6 
2016-10-25 12:18:32 412553950 114.525857 30.679317 114.525827 30.679323 0.0 87.4 
2016-10-25 12:20:40 412553950 114.525857 30.679317 114.525857 30.679317 0.0 87.4 
2016-10-25 12:24:17 412553950 114.525762 30.67933 114.525857 30.679317 0.1 301.7 
2016-10-25 12:32:38 412553950 114.525797 30.679258 114.525797 30.679258 0.0 274.3 
2016-10-25 12:33:40 412553950 114.52582 30.679277 114.525797 30.679258 0.0 111.8 
2016-10-25 12:36:21 412553950 114.525793 30.67931 114.52582 30.679277 0.0 3.7 
2016-10-25 12:38:28 412553950 114.525793 30.67931 114.525793 30.67931 0.0 3.7 
2016-10-25 12:39:37 412553950 114.525815 30.679285 114.525793 30.67931 0.0 182.6 
2016-10-25 12:42:32 412553950 114.525798 30.679313 114.525815 30.679285 0.0 330.1 
2016-10-25 12:44:45 412553950 114.525798 30.679313 114.525798 30.679313 0.0 330.1 
2016-10-25 12:45:59 412553950 114.52581 30.67929 114.525798 30.679313 0.1 174.3 
2016-10-25 12:48:44 412553950 114.525788 30.679215 114.52581 30.67929 0.0 259.0 
2016-10-25 12:50:45 412553950 114.525788 30.679215 114.525788 30.679215 0.0 259.0 
2016-10-25 12:51:32 412553950 114.52584 30.679315 114.525788 30.679215 0.0 6.1 
2016-10-25 12:56:49 412553950 114.52584 30.679315 114.52584 30.679315 0.0 6.1 
2016-10-25 12:57:27 412553950 114.525835 30.679333 114.52584 30.679315 0.0 289.3 
2016-10-25 13:00:19 412553950 114.525862 30.679317 114.525835 30.679333 0.0 113.7 
2016-10-25 13:06:16 412553950 114.52585 30.679297 114.525862 30.679317 0.0 140.9 
2016-10-25 13:08:15 412553950 114.52585 30.679297 114.52585 30.679297 0.0 140.9 
2016-10-25 13:12:40 412553950 114.525817 30.679235 114.52585 30.679297 0.0 286.8 
2016-10-25 13:20:39 412553950 114.525765 30.679293 114.525765 30.679293 0.0 303.1 
2016-10-25 13:21:37 412553950 114.52583 30.679238 114.525765 30.679293 0.1 179.0 
2016-10-25 13:24:44 412553950 114.52578 30.679278 114.52583 30.679238 0.1 20.0 
2016-10-25 13:26:25 412553950 114.52578 30.679278 114.52578 30.679278 0.1 20.0 
2016-10-25 13:27:42 412553950 114.525855 30.679322 114.52578 30.679278 0.0 201.2 
2016-10-25 13:30:35 412553950 114.525862 30.679293 114.525855 30.679322 0.0 135.2 
2016-10-25 13:32:33 412553950 114.525862 30.679293 114.525862 30.679293 0.0 135.2 
2016-10-25 13:36:33 412553950 114.525845 30.67935 114.525862 30.679293 0.0 142.0 
2016-10-25 13:39:19 412553950 114.525847 30.679335 114.525845 30.67935 0.0 213.3 
2016-10-25 13:48:37 412553950 114.525833 30.67942 114.525877 30.679308 0.1 37.5 
2016-10-25 13:50:19 412553950 114.525833 30.67942 114.525833 30.67942 0.1 37.5 
2016-10-25 13:54:21 412553950 114.525863 30.679325 114.525833 30.67942 0.0  
2016-10-25 13:56:26 412553950 114.525863 30.679325 114.525863 30.679325 0.0  
2016-10-25 14:06:29 412553950 114.52586 30.67933 114.525878 30.679365 0.0 191.6 
2016-10-25 14:09:13 412553950 114.525883 30.679363 114.52586 30.67933 0.0 94.7 
2016-10-25 14:12:42 412553950 114.525843 30.679348 114.525883 30.679363 0.0 181.9 
2016-10-25 14:14:57 412553950 114.525843 30.679348 114.525843 30.679348 0.0 181.9 
2016-10-25 14:15:32 412553950 114.525833 30.67936 114.525843 30.679348 0.0  
2016-10-25 14:18:16 412553950 114.525817 30.679387 114.525833 30.67936 0.0 173.4 
2016-10-25 14:20:42 412553950 114.525817 30.679387 114.525817 30.679387 0.0 173.4 
2016-10-25 14:21:56 412553950 114.525858 30.679362 114.525817 30.679387 0.0 104.2 
2016-10-25 14:30:44 412553950 114.525862 30.679318 114.525848 30.679358 0.0 169.5 
2016-10-25 14:33:54 412553950 114.525855 30.679337 114.525862 30.679318 0.0 351.5 
2016-10-25 14:36:25 412553950 114.525863 30.679358 114.525855 30.679337 0.0  
2016-10-25 14:44:41 412553950 114.525823 30.679298 114.525823 30.679298 0.0 344.6 
2016-10-25 14:45:57 412553950 114.525817 30.679308 114.525823 30.679298 0.1 111.9 
2016-10-25 14:48:19 412553950 114.525807 30.679323 114.525817 30.679308 0.0 304.0 
2016-10-25 14:50:44 412553950 114.525807 30.679323 114.525807 30.679323 0.0 304.0 
2016-10-25 14:51:18 412553950 114.525838 30.679357 114.525807 30.679323 0.0  
2016-10-25 14:54:21 412553950 114.525843 30.679327 114.525838 30.679357 0.0  
2016-10-25 14:57:25 412553950 114.525883 30.679358 114.525843 30.679327 0.0 61.9 
2016-10-25 15:00:42 412553950 114.525843 30.679373 114.525883 30.679358 0.0 122.2 
2016-10-25 15:02:35 412553950 114.525843 30.679373 114.525843 30.679373 0.0 122.2 
2016-10-25 15:03:36 412553950 114.525817 30.67932 114.525843 30.679373 0.0 218.6 
2016-10-25 15:06:46 412553950 114.525847 30.67935 114.525817 30.67932 0.0 13.9 
2016-10-25 15:09:23 412553950 114.525912 30.679367 114.525847 30.67935 0.0 100.7 
2016-10-25 15:12:21 412553950 114.52585 30.679392 114.525912 30.679367 0.0 27.5 
2016-10-25 15:15:43 412553950 114.525837 30.679363 114.52585 30.679392 0.0 198.3 
2016-10-25 15:20:34 412553950 114.525837 30.679363 114.525837 30.679363 0.0 198.3 
2016-10-25 15:21:25 412553950 114.525838 30.679362 114.525837 30.679363 0.0 284.6 
2016-10-25 15:24:34 412553950 114.52589 30.6793 114.525838 30.679362 0.0 83.9 
2016-10-25 15:26:13 412553950 114.52589 30.6793 114.52589 30.6793 0.0 83.9 
2016-10-25 15:27:31 412553950 114.525857 30.679332 114.52589 30.6793 0.0 328.3 
2016-10-25 15:30:25 412553950 114.525887 30.679332 114.525857 30.679332 0.0 136.4 
2016-10-25 15:32:12 412553950 114.525887 30.679332 114.525887 30.679332 0.0 136.4 
2016-10-25 15:36:18 412553950 114.525903 30.679335 114.525887 30.679332 0.0 20.8 
2016-10-25 15:39:23 412553950 114.525887 30.67935 114.525903 30.679335 0.0 21.4 
2016-10-25 15:42:14 412553950 114.52584 30.67935 114.525887 30.67935 0.0 289.8 
2016-10-25 15:44:31 412553950 114.52584 30.67935 114.52584 30.67935 0.0 289.8 
2016-10-25 15:45:14 412553950 114.525867 30.67938 114.52584 30.67935 0.0  
2016-10-25 15:48:17 412553950 114.525865 30.679393 114.525867 30.67938 0.0 354.5 
2016-10-25 15:50:37 412553950 114.525865 30.679393 114.525865 30.679393 0.0 354.5 
2016-10-25 15:52:02 412553950 114.525843 30.679442 114.525865 30.679393 0.0 330.4 
2016-10-25 15:54:21 412553950 114.525775 30.679502 114.525843 30.679442 0.1 329.9 
2016-10-25 15:56:40 412553950 114.525775 30.679502 114.525775 30.679502 0.1 329.9 
